CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
1, mujets, up, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.628408*((1.+(0.576276*x))/(1.+(0.396304*x))))+0.02960566058754921" 
1, mujets, up, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.628408*((1.+(0.576276*x))/(1.+(0.396304*x))))+0.033029336482286453" 
1, mujets, up, 0, -2.4, 2.4, 300, 670, 0, 1, "(0.628408*((1.+(0.576276*x))/(1.+(0.396304*x))))+0.037009656429290771" 
1, mujets, up_correlated, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.628408*((1.+(0.576276*x))/(1.+(0.396304*x))))+0.024336005717077447" 
1, mujets, up_correlated, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.628408*((1.+(0.576276*x))/(1.+(0.396304*x))))+0.028140534891236409" 
1, mujets, up_correlated, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.628408*((1.+(0.576276*x))/(1.+(0.396304*x))))+0.025055810006022246" 
1, mujets, up_correlated, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.628408*((1.+(0.576276*x))/(1.+(0.396304*x))))+0.042799463105476984" 
1, mujets, up_correlated, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.628408*((1.+(0.576276*x))/(1.+(0.396304*x))))+0.05714572355010087" 
1, mujets, up_correlated, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.628408*((1.+(0.576276*x))/(1.+(0.396304*x))))+0.063195846110164072" 
1, mujets, up_correlated, 1, -2.4, 2.4, 300, 670, 0, 1, "(0.628408*((1.+(0.576276*x))/(1.+(0.396304*x))))+0.068128511718282853" 
1, mujets, up_correlated, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.628408*((1.+(0.576276*x))/(1.+(0.396304*x))))+0.012168002858538723" 
1, mujets, up_correlated, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.628408*((1.+(0.576276*x))/(1.+(0.396304*x))))+0.014070267445618205" 
1, mujets, up_correlated, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.628408*((1.+(0.576276*x))/(1.+(0.396304*x))))+0.012527905003011123" 
1, mujets, up_correlated, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.628408*((1.+(0.576276*x))/(1.+(0.396304*x))))+0.021399731552738492" 
1, mujets, up_correlated, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.628408*((1.+(0.576276*x))/(1.+(0.396304*x))))+0.028572861775050435" 
1, mujets, up_correlated, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.628408*((1.+(0.576276*x))/(1.+(0.396304*x))))+0.031597923055082036" 
1, mujets, up_correlated, 0, -2.4, 2.4, 300, 670, 0, 1, "(0.628408*((1.+(0.576276*x))/(1.+(0.396304*x))))+0.034064255859141426" 
1, mujets, up_uncorrelated, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.628408*((1.+(0.576276*x))/(1.+(0.396304*x))))+0.016775956377387047" 
1, mujets, up_uncorrelated, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.628408*((1.+(0.576276*x))/(1.+(0.396304*x))))+0.013013992458581924" 
1, mujets, up_uncorrelated, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.628408*((1.+(0.576276*x))/(1.+(0.396304*x))))+0.016695097088813782" 
1, mujets, up_uncorrelated, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.628408*((1.+(0.576276*x))/(1.+(0.396304*x))))+0.021905679255723953" 
1, mujets, up_uncorrelated, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.628408*((1.+(0.576276*x))/(1.+(0.396304*x))))+0.01550312340259552" 
1, mujets, up_uncorrelated, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.628408*((1.+(0.576276*x))/(1.+(0.396304*x))))+0.019236249849200249" 
1, mujets, up_uncorrelated, 1, -2.4, 2.4, 300, 670, 0, 1, "(0.628408*((1.+(0.576276*x))/(1.+(0.396304*x))))+0.02893725223839283" 
